subject,FULL,AP,AMP,ENERGY,PRODUCT,INTERFERENCE,ANGLE,INTERFERENCE_TO_FULL,INTERFERENCE_TO_AP,PRODUCT_TO_AP,ENERGY_TO_FULL,AP_minus_PRODUCT,PRODUCT_minus_AP
CB022,0.2380952380952381,0.04,-0.17714285714285716,0.3104761904761904,0.16571428571428573,-0.12761904761904763,-0.14666666666666667,0.06666666666666667,-0.036190476190476197,0.25523809523809526,0.3504761904761905,-0.12571428571428572,0.12571428571428572
CB023,0.7790476190476191,0.779047619047619,0.6,0.8247619047619048,0.7980952380952382,0.7942857142857143,0.6876190476190477,0.7752380952380953,0.7752380952380953,0.7066666666666667,0.7390476190476192,-0.019047619047619202,0.019047619047619202
CB024,0.638095238095238,0.7142857142857143,0.43238095238095225,0.6685714285714286,0.660952380952381,0.5923809523809525,0.2342857142857143,0.5866666666666667,0.6533333333333331,0.6876190476190476,0.6533333333333332,0.053333333333333344,-0.053333333333333344
CB027,0.7714285714285716,0.6,0.558095238095238,0.7561904761904761,0.6609523809523808,0.32190476190476197,0.2876190476190476,0.56,0.46095238095238095,0.6571428571428571,0.7676190476190478,-0.06095238095238087,0.06095238095238087
CB028,0.6571428571428571,0.5580952380952381,0.4895238095238094,0.6876190476190477,0.7866666666666666,0.3676190476190476,0.12000000000000001,0.5238095238095237,0.46476190476190476,0.6704761904761906,0.6761904761904762,-0.22857142857142854,0.22857142857142854
CB029,0.8628571428571431,0.8247619047619048,0.4895238095238095,0.7409523809523809,0.7219047619047619,0.8057142857142858,0.7104761904761904,0.84,0.8304761904761905,0.6514285714285715,0.7295238095238096,0.10285714285714287,-0.10285714285714287
CB030,0.5580952380952381,0.52,0.43238095238095237,0.558095238095238,0.5314285714285714,0.3714285714285715,0.20761904761904765,0.44190476190476186,0.4266666666666667,0.5066666666666666,0.5695238095238095,-0.011428571428571344,0.011428571428571344
CB031,0.8285714285714287,0.7752380952380953,0.6647619047619048,0.8323809523809526,0.8666666666666668,0.7866666666666667,0.6228571428571429,0.8038095238095239,0.779047619047619,0.7733333333333334,0.7942857142857143,-0.09142857142857153,0.09142857142857153
CB035,0.7295238095238096,0.7295238095238096,0.8285714285714287,0.8323809523809522,0.7485714285714287,0.702857142857143,0.7447619047619048,0.7257142857142858,0.7314285714285715,0.7295238095238096,0.7733333333333332,-0.01904761904761909,0.01904761904761909
CB036,0.699047619047619,0.6304761904761905,0.40952380952380946,0.6685714285714285,0.6190476190476191,0.5733333333333334,0.39809523809523817,0.6228571428571428,0.5904761904761905,0.6514285714285714,0.7161904761904762,0.011428571428571455,-0.011428571428571455
CB038,0.5580952380952381,0.5809523809523809,0.09714285714285714,0.7219047619047619,0.7561904761904763,0.6076190476190477,0.500952380952381,0.5314285714285715,0.5733333333333334,0.4838095238095238,0.5085714285714286,-0.17523809523809541,0.17523809523809541
CB039,0.8819047619047621,0.8704761904761907,0.5314285714285714,0.8971428571428572,0.9123809523809526,0.942857142857143,0.7447619047619048,0.8552380952380954,0.8685714285714288,0.6019047619047618,0.68,-0.04190476190476189,0.04190476190476189
CB040,0.8133333333333336,0.8628571428571429,0.740952380952381,0.7028571428571428,0.7676190476190476,0.8133333333333332,0.5923809523809523,0.8304761904761906,0.8400000000000001,0.7942857142857144,0.7142857142857142,0.09523809523809523,-0.09523809523809523
CB041,0.7638095238095238,0.7257142857142858,0.32952380952380955,0.6876190476190477,0.52,0.6571428571428571,0.6647619047619049,0.7123809523809524,0.6914285714285715,0.6628571428571429,0.7447619047619048,0.20571428571428574,-0.20571428571428574
CB042,0.26857142857142857,0.26095238095238094,-0.24571428571428572,0.2,0.3219047619047618,0.26857142857142857,0.52,0.24380952380952378,0.24571428571428566,0.22285714285714286,0.18095238095238095,-0.06095238095238087,0.06095238095238087
CB044,0.740952380952381,0.6876190476190476,0.660952380952381,0.7752380952380953,0.7485714285714287,0.478095238095238,0.32952380952380955,0.5942857142857143,0.5771428571428571,0.7219047619047619,0.7580952380952383,-0.06095238095238109,0.06095238095238109
CB045,0.52,0.4666666666666667,0.25333333333333335,0.5961904761904762,0.6342857142857142,0.2914285714285715,0.26857142857142857,0.39619047619047626,0.36571428571428577,0.5428571428571428,0.5923809523809523,-0.16761904761904756,0.16761904761904756
CB049,0.47047619047619044,0.47428571428571425,0.17333333333333334,0.619047619047619,0.6495238095238094,0.1580952380952381,0.028571428571428574,0.30857142857142855,0.29714285714285715,0.5561904761904761,0.5638095238095236,-0.17523809523809514,0.17523809523809514
CB050,0.9161904761904762,0.9085714285714287,0.8933333333333333,0.6647619047619048,0.7676190476190476,0.8285714285714287,0.660952380952381,0.8457142857142858,0.8514285714285716,0.7276190476190476,0.7428571428571428,0.14095238095238105,-0.14095238095238105
